levels(as.factor(full_data$species))

Alicia beebei
Aligena cokeri
Aligena nucea
Alitta succinea
Alleena mexicana
Allenrolfea occidentalis
Alliatina primitiva
Allionia incarnata
Allobenedenia pseudomarginata
Allocyclosa bifurca
Alloniscus perconvexus
Aloe vera
Alopias pelagicus
Alopias superciliosus
Alopias vulpinus
Aloysia barbata
Alphestes immaculatus
Alphestes multiguttatus
Alpheus armillatus
Alpheus bellimanus
Alpheus canalis
Alpheus cylindricus
Alpheus galapagensis
Alpheus hebes
Alpheus hyeyoungae
Alpheus longinquus
Alpheus lottini
Alpheus malleator
Alpheus normanni
Alpheus panamensis
Alpheus paracrinitus
Alpheus schmitti
Alpheus sublucanus
Alpheus sulcatus
Alpheus umbo
Alpheus websteri
Alpinia purpurata
Alutera scripta
Aluterus monoceros
Aluterus scripta
Aluterus scriptus
Alveus marinus
Alyxoria xerica
Amage quadribranchiata
Amanses carolae
Amaranthus fimbriatus
Amaranthus lepturus
Amaranthus palmeri
Amaranthus watsonii
Amastigomonas debruynei
Amastigos acutus
Amaterasia amanoiwatoi
Amathia convoluta
Amathia distans
Amathia gracilis
Amathia verticillata
Amathia vidovici
Amauropelta oligocarpa
Amazilia rutila
Amazona albifrons
Amazona finschi
Amazona oratrix
Ambassis gymnocephalus
Ambidexter panamensis
Ambrosia ambrosioides
Ambrosia bryantii
Ambrosia camphorata
Ambrosia confertiflora
Ambrosia magdalenae
Ambrosia monogyra
Americardia biangulata
Americardia planicostata
Americhiton arragonites
Americoliva grovesi
Ameritella amianta
Ameritella carpenteri
Ameritella tabogensis
Amerycina cultrata
Amerycina huberi
Amerycina mikkelsenae
Amiantis callosa
Ammobaculites catenulatus
Ammodiscus minutissimus
Ammodramus savannarum
Ammodytes lucasanus
Ammodytoides gilli
Ammomarginulina catenulata
Ammonicera mcleani
Ammonicera mexicana
Ammonicera sleursi
Ammoscalaria compressa
Ammospermophilus insularis
Ammospermophilus leucurus
Ammospermophilus leucurus extimus
Ampharete labrops
Amphiaster insignis
Amphibalanus amphitrite
Amphibalanus reticulatus
Amphichondrius granulatus
Amphichondrius granulosus
Amphichondrius laevis
Amphicocconeis discrepans
Amphicteis gunneri
Amphicteis scaphobranchiata
Amphidinium acutissimum
Amphidinium acutum
Amphidinium carterae
Amphidinium globosum
Amphidinium sphenoides
Amphidinium turbo
Amphidoma caudata
Amphinema australis
Amphinema dinema
Amphiodia (Amphispina) digitata
Amphiodia (Amphispina) urtica
Amphiodia occidentalis
Amphiodia platyspina
Amphiodia sculptilis
Amphiodia violacea
Amphipentas alternans
Amphipholis geminata
Amphipholis platydisca
Amphipholis pugetana
Amphipholis puntarenae
Amphipholis squamata
Amphipholizona perplexa
Amphiplecta cylindrocephala
Amphipleura frauenfeldii
Amphiprora pusilla
Amphirhopalum ypsilon
Amphiroa beauvoisii
Amphiroa brevianceps
Amphiroa foliacea
Amphiroa misakiensis
Amphiroa rigida
Amphiroa valonioides
Amphisbetia furcata
Amphisbetia operculata
Amphisolenia asymmetrica
Amphisolenia bidentata
Amphisolenia lemmermanni
Amphisolenia lemmermannii
Amphisolenia thrinax
Amphisolenia truncata
Amphisphaera cristata
Amphispiza bilineata
Amphispyris reticulata
Amphispyris roggentheni
Amphissa undata
Amphitetras cruciata
Amphithalamus inclusus
Amphitholus acanthometra
Amphithrax tuberculatus
Amphithyrus sculpturatus
Amphiura acrystata
Amphiura arcystata
Amphogona apicata
Amphora acutiscula
Amphora acutiuscula
Amphora affinis
Amphora angusta
Amphora angusta angusta
Amphora angusta eulensteinii
Amphora angusta ventricosa
Amphora arenaria
Amphora arenicola
Amphora bigibba
Amphora bigibba interrupta
Amphora binodis
Amphora binodis bigibba
Amphora borealis
Amphora coffeaefomis
Amphora coffeaeformis
Amphora coffeaeformis borealis
Amphora coffeaeformis salina
Amphora coffeaeformis salinarum
Amphora costata
Amphora crassa
Amphora crassa typica
Amphora decussata
Amphora exigua
Amphora holsatica
Amphora kolbei
Amphora laevis
Amphora macilenta
Amphora marina
Amphora marina genuina
Amphora marina minima
Amphora obtusa oceanica
Amphora oceanica
Amphora ostrearia
Amphora ostrearia lineata
Amphora ovalis
Amphora ovalis affinis
Amphora pediculus
Amphora pediculus minor
Amphora proteus
Amphora proteus contigua
Amphora robusta
Amphora spectabilis
Amphora strigosa
Amphora tenerrima
Amphora tenuissima
Amphora terroris
Amphora turgida
Amphora ventricosa
Amphora wisei
Ampithoe pollex
Amygdalum americanum
Anabaena torulosa
Anabas testudineus
Anachis (Anachis) scalarina
Anachis (Costoanachis) berryi
Anachis (Costoanachis) nigrofusca
Anachis (Costoanachis) varia
Anachis adelinae
Anachis berryi
Anachis coronata
Anachis gaskoini
Anachis menaletta
Anachis nigrofusca
Anachis scalarina
Anachis teevani
Anachis varia
Anachis vexillum
Anadara (Anadara) adamsi
Anadara (Anadara) concinna
Anadara (Anadara) emarginata
Anadara (Anadara) formosa
Anadara (Anadara) tuberculosa
Anadara (Cunearca) brasiliana
Anadara (Cunearca) perlabiata
Anadara (Diluvarca) mazatlanica
Anadara (Potiarca) nux
Anadara (Scapharca) biangulata
Anadara (Scapharca) cepoides
Anadara (Scapharca) labiosa
Anadara adamsi
Anadara formosa
Anadara multicostata
Anadara nux
Anadara perlabiata
Anadara tuberculosa
Anaitides mucosa
Ananas comosus
Anarchias galapagensis
Anarrhichthys ocellatus
Anartia fatima
Anartia fatima colima
Anartia jatrophae
Anartia jatrophae luteipicta
Anas acuta
Anas crecca
Anas platyrhynchos
Anasterias antarctica
Anaulus balticus
Anaulus minutus
Anchoa arenicola
Anchoa argentivittata
Anchoa compressa
Anchoa curta
Anchoa delicatissima
Anchoa exigua
Anchoa helleri
Anchoa ischana
Anchoa lucida
Anchoa mundeoloides
Anchoa nasus
Anchoa scofieldi
Anchoa spinifer
Anchoa walkeri
Anchovia macrolepidota
Anchovia magdalenae
Ancistrosyllis jonesi
Ancylopsetta dendritica
Andrachne microphylla
Andropogon semitectus
Androspyris fenesterata
Anemopsis californica
Anexechona ancorata
Angulogerina agrestis
Angulogerina fluens
Angulogerina hughesi picta
Anhinga anhinga
Aniculus elegans
Anisakis typica
Anisotremus caesius
Anisotremus davidsonii
Anisotremus dovii
Anisotremus interruptus
Anisotremus perezponcedeleoni
Anisotremus scapularis
Anisotremus surinamensis
Anisotremus taeniatus
Annona muricata
Anochrostomus formosus
Anoda crenatiflora
Anoda cristata
Anoda reticulata
Anolis nebulosus
Anolis sagrei
Anomalocardia subimbricata
Anomia (Anomia) peruviana
Anomia peruviana
Anoplolepis gracilipes
Anorthoneis eurystoma
Anotomastus gordiodes
Anous stolidus
Anser albifrons
Anser anser
Anser caerulescens
Antalis pretiosa
Antarctissa strelkovi
Anteaeolidiella chromosoma
Anteaeolidiella ireneae
Antennarius avalonis
Antennarius commerson
Antennarius sanguineus
Antennatus sanguineus
